Date, Open, High, Low, Close
10/01/15, 16278.62, 16348.87, 16073.82, 16272.01
09/30/15, 16057.08, 16297.60, 16057.08, 16284.70
09/29/15, 16001.76, 16118.89, 15942.37, 16049.13
09/28/15, 16313.26, 16313.26, 15981.85, 16001.89
09/25/15, 16205.07, 16465.23, 16205.07, 16314.67
09/24/15, 16257.11, 16257.11, 16016.36, 16201.32
09/23/15, 16332.81, 16355.29, 16211.98, 16279.89
09/22/15, 16477.45, 16477.45, 16221.73, 16330.47
09/21/15, 16406.10, 16578.60, 16391.88, 16510.19
09/18/15, 16674.74, 16674.74, 16343.76, 16384.58
09/17/15, 16738.08, 16933.43, 16639.93, 16674.74
09/16/15, 16599.51, 16755.98, 16593.90, 16739.95
09/15/15, 16382.58, 16644.11, 16382.58, 16599.85
09/14/15, 16450.86, 16450.86, 16330.87, 16370.96
09/11/15, 16330.40, 16434.76, 16244.65, 16433.09
09/10/15, 16252.57, 16441.94, 16212.08, 16330.40
09/09/15, 16505.04, 16664.65, 16220.10, 16253.57
09/08/15, 16109.93, 16503.41, 16109.93, 16492.68
09/04/15, 16371.76, 16371.76, 16026.61, 16102.38
09/03/15, 16364.34, 16550.07, 16317.31, 16374.76
09/02/15, 16058.35, 16352.58, 16058.35, 16351.38
09/01/15, 16528.03, 16528.03, 15979.95, 16058.35
08/31/15, 16632.02, 16632.02, 16444.05, 16528.03
08/28/15, 16649.42, 16669.97, 16535.18, 16643.01
08/27/15, 16285.51, 16666.69, 16285.51, 16654.77
08/26/15, 15676.26, 16303.75, 15676.26, 16285.51
08/25/15, 15882.27, 16312.94, 15651.24, 15666.44
08/24/15, 16459.75, 16459.75, 15370.33, 15871.35
08/21/15, 16990.69, 16990.69, 16459.55, 16459.75
08/20/15, 17345.32, 17345.32, 16990.69, 16990.69
08/19/15, 17508.74, 17517.19, 17282.42, 17348.73
08/18/15, 17537.30, 17568.40, 17486.42, 17511.34
08/17/15, 17472.66, 17551.40, 17341.72, 17545.18
08/14/15, 17410.12, 17492.90, 17394.06, 17477.40
08/13/15, 17401.64, 17481.78, 17341.34, 17408.25
08/12/15, 17382.93, 17423.90, 17125.81, 17402.51
08/11/15, 17593.59, 17593.59, 17352.63, 17402.84
08/10/15, 17375.18, 17629.13, 17375.18, 17615.17
08/07/15, 17414.94, 17414.94, 17279.08, 17373.38
08/06/15, 17542.61, 17572.04, 17362.86, 17419.75
08/05/15, 17555.24, 17661.37, 17492.90, 17540.47
08/04/15, 17596.93, 17635.78, 17505.50, 17550.69
08/03/15, 17696.74, 17704.76, 17496.61, 17598.20
07/31/15, 17755.87, 17783.59, 17671.59, 17689.86
07/30/15, 17743.24, 17761.25, 17640.85, 17745.98
07/29/15, 17631.40, 17776.78, 17629.20, 17751.39
07/28/15, 17449.81, 17650.07, 17449.81, 17630.27
07/27/15, 17561.78, 17561.78, 17399.17, 17440.59
07/24/15, 17731.05, 17756.54, 17553.73, 17568.53
07/23/15, 17853.78, 17860.95, 17705.03, 17731.92
07/22/15, 17918.35, 17919.35, 17807.41, 17851.04
07/21/15, 18096.67, 18096.67, 17868.34, 17919.29
07/20/15, 18085.91, 18137.12, 18064.50, 18100.41
07/17/15, 18117.58, 18121.12, 18032.06, 18086.45
07/16/15, 18078.16, 18131.61, 18065.33, 18120.25
07/15/15, 18053.38, 18090.39, 18010.15, 18050.17
07/14/15, 17974.61, 18072.82, 17956.17, 18053.58
07/13/15, 17787.27, 17987.57, 17787.27, 17977.68
07/10/15, 17561.12, 17797.49, 17561.12, 17760.41
07/09/15, 17530.38, 17764.85, 17530.38, 17548.62
07/08/15, 17759.01, 17759.01, 17496.22, 17515.42
07/07/15, 17684.92, 17793.45, 17465.68, 17776.91
07/06/15, 17728.08, 17734.36, 17564.36, 17683.58
07/02/15, 17763.32, 17825.49, 17687.52, 17730.11
07/01/15, 17638.12, 17801.83, 17638.12, 17757.91
06/30/15, 17599.96, 17714.66, 17576.50, 17619.51
06/29/15, 17936.74, 17936.74, 17590.55, 17596.35
06/26/15, 17892.03, 18013.15, 17892.03, 17946.68
06/25/15, 17977.11, 18036.10, 17890.36, 17890.36
06/24/15, 18139.10, 18139.10, 17966.07, 17966.07
06/23/15, 18121.78, 18188.81, 18108.10, 18144.07
06/22/15, 18027.63, 18181.67, 18027.63, 18119.78
06/19/15, 18116.24, 18117.71, 18010.58, 18015.95
06/18/15, 17944.61, 18174.73, 17944.61, 18115.84
06/17/15, 17909.58, 17998.00, 17839.65, 17935.74
06/16/15, 17787.43, 17919.62, 17774.12, 17904.48
06/15/15, 17890.76, 17890.76, 17698.42, 17791.17
06/12/15, 18035.83, 18035.83, 17857.07, 17898.84
06/11/15, 18001.27, 18109.77, 18001.27, 18039.37
06/10/15, 17765.38, 18045.14, 17765.38, 18000.40
06/09/15, 17766.95, 17817.83, 17714.97, 17764.04
06/08/15, 17849.46, 17852.35, 17760.61, 17766.55
06/05/15, 17905.38, 17940.78, 17822.90, 17849.46
06/04/15, 18072.47, 18087.15, 17876.95, 17905.58
06/03/15, 18018.42, 18168.09, 18010.42, 18076.27
06/02/15, 18033.33, 18091.87, 17925.33, 18011.94
06/01/15, 18017.82, 18105.83, 17982.06, 18040.37
05/29/15, 18128.12, 18128.12, 17967.74, 18010.68
05/28/15, 18154.14, 18154.14, 18066.40, 18126.12
05/27/15, 18045.08, 18190.35, 18045.08, 18162.99
05/26/15, 18229.75, 18229.75, 17990.02, 18041.54
05/22/15, 18286.87, 18286.87, 18217.14, 18232.02
05/21/15, 18285.87, 18314.89, 18249.90, 18285.74
